Format,2.0A,
Memory Length,5000,Memory Length,5000,
Trigger Level,-112mV,Trigger Level,-112mV,
Source,CH1,Source,CH2,
Label,ACK,Label, ,
Probe Ratio,1.000E+00,Probe Ratio,1.000E+00,
Vertical Units,V,Vertical Units,V,
Vertical Scale,5.000E-01,Vertical Scale,5.000E-02,
Vertical Position,-9.800E-01,Vertical Position,-1.800E-01,
Horizontal Units,S,Horizontal Units,S,
Horizontal Scale,2.000E-01,Horizontal Scale,2.000E-01,
Horizontal Position,0.000E+00,Horizontal Position,0.000E+00,
Horizontal Mode,Roll Mode,Horizontal Mode,Roll Mode,
Sampling Period,4.000E-04,Sampling Period,4.000E-04,
Firmware,V1.21,Firmware,V1.21,
Time,24-Apr-23 19:43:55,Time,24-Apr-23 19:43:55,
Mode,Detail,Mode,Detail,
Waveform Data,,Waveform Data,,
-9.916000e-01,-0.260000,-9.916000e-01,0.310000,
-9.912000e-01,-0.240000,-9.912000e-01,0.314000,
-9.908000e-01,-0.260000,-9.908000e-01,0.312000,
-9.904000e-01,-0.320000,-9.904000e-01,0.308000,
-9.900000e-01,-0.300000,-9.900000e-01,0.312000,
-9.896000e-01,-0.360000,-9.896000e-01,0.308000,
-9.892000e-01,-0.340000,-9.892000e-01,0.312000,
-9.888000e-01,-0.400000,-9.888000e-01,0.306000,
-9.884000e-01,-0.380000,-9.884000e-01,0.310000,
-9.880000e-01,-0.400000,-9.880000e-01,0.310000,
-9.876000e-01,-0.440000,-9.876000e-01,0.304000,
-9.872000e-01,-0.420000,-9.872000e-01,0.308000,
-9.868000e-01,-0.480000,-9.868000e-01,0.304000,
-9.864000e-01,-0.460000,-9.864000e-01,0.308000,
-9.860000e-01,-0.520000,-9.860000e-01,0.302000,
-9.856000e-01,-0.500000,-9.856000e-01,0.304000,
-9.852000e-01,-0.540000,-9.852000e-01,0.300000,
-9.848000e-01,-0.520000,-9.848000e-01,0.302000,
-9.844000e-01,-0.580000,-9.844000e-01,0.298000,
-9.840000e-01,-0.560000,-9.840000e-01,0.302000,
-9.836000e-01,-0.600000,-9.836000e-01,0.296000,
-9.832000e-01,-0.580000,-9.832000e-01,0.300000,
-9.828000e-01,-0.600000,-9.828000e-01,0.298000,
-9.824000e-01,-0.620000,-9.824000e-01,0.294000,
-9.820000e-01,-0.600000,-9.820000e-01,0.298000,
-9.816000e-01,-0.660000,-9.816000e-01,0.292000,
-9.812000e-01,-0.620000,-9.812000e-01,0.296000,
-9.808000e-01,-0.660000,-9.808000e-01,0.290000,
-9.804000e-01,-0.640000,-9.804000e-01,0.294000,
-9.800000e-01,-0.640000,-9.800000e-01,0.292000,
-9.796000e-01,-0.680000,-9.796000e-01,0.288000,
-9.792000e-01,-0.660000,-9.792000e-01,0.292000,
-9.788000e-01,-0.680000,-9.788000e-01,0.286000,
-9.784000e-01,-0.660000,-9.784000e-01,0.290000,
-9.780000e-01,-0.700000,-9.780000e-01,0.284000,
-9.776000e-01,-0.660000,-9.776000e-01,0.288000,
-9.772000e-01,-0.660000,-9.772000e-01,0.286000,
-9.768000e-01,-0.700000,-9.768000e-01,0.282000,
-9.764000e-01,-0.660000,-9.764000e-01,0.286000,
-9.760000e-01,-0.680000,-9.760000e-01,0.280000,
-9.756000e-01,-0.640000,-9.756000e-01,0.284000,
-9.752000e-01,-0.680000,-9.752000e-01,0.282000,
-9.748000e-01,-0.640000,-9.748000e-01,0.278000,
-9.744000e-01,-0.620000,-9.744000e-01,0.280000,
-9.740000e-01,-0.660000,-9.740000e-01,0.276000,
-9.736000e-01,-0.620000,-9.736000e-01,0.280000,
-9.732000e-01,-0.640000,-9.732000e-01,0.274000,
-9.728000e-01,-0.640000,-9.728000e-01,0.278000,
-9.724000e-01,-0.600000,-9.724000e-01,0.272000,
-9.720000e-01,-0.580000,-9.720000e-01,0.276000,
-9.716000e-01,-0.620000,-9.716000e-01,0.270000,
-9.712000e-01,-0.560000,-9.712000e-01,0.274000,
-9.708000e-01,-0.560000,-9.708000e-01,0.274000,
-9.704000e-01,-0.600000,-9.704000e-01,0.268000,
-9.700000e-01,-0.580000,-9.700000e-01,0.270000,
-9.696000e-01,-0.540000,-9.696000e-01,0.266000,
-9.692000e-01,-0.520000,-9.692000e-01,0.270000,
-9.688000e-01,-0.560000,-9.688000e-01,0.264000,
-9.684000e-01,-0.540000,-9.684000e-01,0.268000,
-9.680000e-01,-0.500000,-9.680000e-01,0.262000,
-9.676000e-01,-0.520000,-9.676000e-01,0.266000,
-9.672000e-01,-0.460000,-9.672000e-01,0.260000,
-9.668000e-01,-0.500000,-9.668000e-01,0.264000,
-9.664000e-01,-0.440000,-9.664000e-01,0.258000,
-9.660000e-01,-0.460000,-9.660000e-01,0.262000,
-9.656000e-01,-0.400000,-9.656000e-01,0.256000,
-9.652000e-01,-0.420000,-9.652000e-01,0.260000,
-9.648000e-01,-0.380000,-9.648000e-01,0.256000,
-9.644000e-01,-0.340000,-9.644000e-01,0.258000,
-9.640000e-01,-0.380000,-9.640000e-01,0.254000,
-9.636000e-01,-0.300000,-9.636000e-01,0.258000,
-9.632000e-01,-0.340000,-9.632000e-01,0.254000,
-9.628000e-01,-0.320000,-9.628000e-01,0.256000,
-9.624000e-01,-0.260000,-9.624000e-01,0.252000,
-9.620000e-01,-0.280000,-9.620000e-01,0.256000,
-9.616000e-01,-0.220000,-9.616000e-01,0.252000,
-9.612000e-01,-0.220000,-9.612000e-01,0.254000,
-9.608000e-01,-0.160000,-9.608000e-01,0.250000,
-9.604000e-01,-0.180000,-9.604000e-01,0.254000,
-9.600000e-01,-0.120000,-9.600000e-01,0.250000,
-9.596000e-01,-0.140000,-9.596000e-01,0.254000,
-9.592000e-01,-0.080000,-9.592000e-01,0.250000,
-9.588000e-01,-0.100000,-9.588000e-01,0.254000,
-9.584000e-01,-0.080000,-9.584000e-01,0.254000,
-9.580000e-01,0.000000,-9.580000e-01,0.250000,
-9.576000e-01,-0.040000,-9.576000e-01,0.254000,
-9.572000e-01,0.040000,-9.572000e-01,0.250000,
-9.568000e-01,0.000000,-9.568000e-01,0.254000,
-9.564000e-01,0.080000,-9.564000e-01,0.250000,
-9.560000e-01,0.060000,-9.560000e-01,0.250000,
-9.556000e-01,0.080000,-9.556000e-01,0.250000,
-9.552000e-01,0.140000,-9.552000e-01,0.256000,
-9.548000e-01,0.120000,-9.548000e-01,0.256000,
-9.544000e-01,0.180000,-9.544000e-01,0.252000,
-9.540000e-01,0.160000,-9.540000e-01,0.258000,
-9.536000e-01,0.240000,-9.536000e-01,0.252000,
-9.532000e-01,0.200000,-9.532000e-01,0.258000,
-9.528000e-01,0.240000,-9.528000e-01,0.254000,
-9.524000e-01,0.300000,-9.524000e-01,0.260000,
-9.520000e-01,0.280000,-9.520000e-01,0.256000,
-9.516000e-01,0.340000,-9.516000e-01,0.262000,
-9.512000e-01,0.320000,-9.512000e-01,0.258000,
-9.508000e-01,0.400000,-9.508000e-01,0.264000,
-9.504000e-01,0.380000,-9.504000e-01,0.260000,
-9.500000e-01,0.440000,-9.500000e-01,0.266000,
-9.496000e-01,0.420000,-9.496000e-01,0.262000,
-9.492000e-01,0.480000,-9.492000e-01,0.268000,
-9.488000e-01,0.460000,-9.488000e-01,0.264000,
-9.484000e-01,0.520000,-9.484000e-01,0.270000,
-9.480000e-01,0.520000,-9.480000e-01,0.266000,
-9.476000e-01,0.560000,-9.476000e-01,0.272000,
-9.472000e-01,0.560000,-9.472000e-01,0.268000,
-9.468000e-01,0.620000,-9.468000e-01,0.274000,
-9.464000e-01,0.580000,-9.464000e-01,0.272000,
-9.460000e-01,0.640000,-9.460000e-01,0.278000,
-9.456000e-01,0.620000,-9.456000e-01,0.274000,
-9.452000e-01,0.680000,-9.452000e-01,0.276000,
-9.448000e-01,0.640000,-9.448000e-01,0.282000,
-9.444000e-01,0.700000,-9.444000e-01,0.278000,
-9.440000e-01,0.660000,-9.440000e-01,0.284000,
-9.436000e-01,0.700000,-9.436000e-01,0.282000,
-9.432000e-01,0.700000,-9.432000e-01,0.284000,
-9.428000e-01,0.740000,-9.428000e-01,0.290000,
-9.424000e-01,0.760000,-9.424000e-01,0.286000,
-9.420000e-01,0.720000,-9.420000e-01,0.294000,
-9.416000e-01,0.780000,-9.416000e-01,0.290000,
-9.412000e-01,0.740000,-9.412000e-01,0.296000,
-9.408000e-01,0.800000,-9.408000e-01,0.292000,
-9.404000e-01,0.760000,-9.404000e-01,0.298000,
-9.400000e-01,0.800000,-9.400000e-01,0.296000,
-9.396000e-01,0.760000,-9.396000e-01,0.302000,
-9.392000e-01,0.820000,-9.392000e-01,0.304000,
-9.388000e-01,0.820000,-9.388000e-01,0.300000,
-9.384000e-01,0.780000,-9.384000e-01,0.306000,
-9.380000e-01,0.840000,-9.380000e-01,0.304000,
-9.376000e-01,0.800000,-9.376000e-01,0.310000,
-9.372000e-01,0.840000,-9.372000e-01,0.306000,
-9.368000e-01,0.800000,-9.368000e-01,0.314000,
-9.364000e-01,0.840000,-9.364000e-01,0.310000,
-9.360000e-01,0.820000,-9.360000e-01,0.316000,
-9.356000e-01,0.860000,-9.356000e-01,0.312000,
-9.352000e-01,0.820000,-9.352000e-01,0.318000,
-9.348000e-01,0.840000,-9.348000e-01,0.316000,
-9.344000e-01,0.820000,-9.344000e-01,0.322000,
-9.340000e-01,0.840000,-9.340000e-01,0.318000,
