Format,2.0A,
Memory Length,5000,
Trigger Level,0.00V,
Source,CH1,
Label,ACK,
Probe Ratio,1.000E+00,
Vertical Units,V,
Vertical Scale,5.000E-01,
Vertical Position,5.800E-01,
Horizontal Units,S,
Horizontal Scale,2.000E-01,
Horizontal Position,0.000E+00,
Horizontal Mode,Roll Mode,
Sampling Period,4.000E-04,
Firmware,V1.21,
Time,07-Mar-23 20:09:59,
Mode,Detail,
Waveform Data,
-9.304000e-01,1.40e-01,
-9.300000e-01,1.00e-01,
-9.296000e-01,1.00e-01,
-9.292000e-01,1.60e-01,
-9.288000e-01,1.60e-01,
-9.284000e-01,1.60e-01,
-9.280000e-01,1.40e-01,
-9.276000e-01,1.80e-01,
-9.272000e-01,1.40e-01,
-9.268000e-01,1.60e-01,
-9.264000e-01,1.80e-01,
-9.260000e-01,2.20e-01,
-9.256000e-01,2.00e-01,
-9.252000e-01,2.40e-01,
-9.248000e-01,2.40e-01,
-9.244000e-01,2.00e-01,
-9.240000e-01,2.20e-01,
-9.236000e-01,2.60e-01,
-9.232000e-01,2.80e-01,
-9.228000e-01,2.40e-01,
-9.224000e-01,3.00e-01,
-9.220000e-01,2.60e-01,
-9.216000e-01,3.20e-01,
-9.212000e-01,2.80e-01,
-9.208000e-01,3.40e-01,
-9.204000e-01,3.00e-01,
-9.200000e-01,3.20e-01,
-9.196000e-01,3.60e-01,
-9.192000e-01,3.80e-01,
-9.188000e-01,3.40e-01,
-9.184000e-01,4.00e-01,
-9.180000e-01,3.60e-01,
-9.176000e-01,3.80e-01,
-9.172000e-01,4.20e-01,
-9.168000e-01,4.00e-01,
-9.164000e-01,4.40e-01,
-9.160000e-01,4.20e-01,
-9.156000e-01,4.60e-01,
-9.152000e-01,4.20e-01,
-9.148000e-01,4.60e-01,
-9.144000e-01,4.80e-01,
-9.140000e-01,4.40e-01,
-9.136000e-01,5.00e-01,
-9.132000e-01,4.60e-01,
-9.128000e-01,5.20e-01,
-9.124000e-01,4.80e-01,
-9.120000e-01,5.20e-01,
-9.116000e-01,5.00e-01,
-9.112000e-01,5.40e-01,
-9.108000e-01,5.00e-01,
-9.104000e-01,5.60e-01,
-9.100000e-01,5.20e-01,
-9.096000e-01,5.60e-01,
-9.092000e-01,5.20e-01,
-9.088000e-01,5.40e-01,
-9.084000e-01,5.80e-01,
-9.080000e-01,5.80e-01,
-9.076000e-01,5.40e-01,
-9.072000e-01,5.80e-01,
-9.068000e-01,5.60e-01,
-9.064000e-01,6.00e-01,
-9.060000e-01,5.60e-01,
-9.056000e-01,6.00e-01,
-9.052000e-01,5.60e-01,
-9.048000e-01,6.20e-01,
-9.044000e-01,5.80e-01,
-9.040000e-01,6.20e-01,
-9.036000e-01,5.80e-01,
-9.032000e-01,6.20e-01,
-9.028000e-01,5.80e-01,
-9.024000e-01,6.20e-01,
-9.020000e-01,6.00e-01,
-9.016000e-01,6.20e-01,
-9.012000e-01,6.00e-01,
-9.008000e-01,6.20e-01,
-9.004000e-01,6.00e-01,
-9.000000e-01,6.20e-01,
-8.996000e-01,6.00e-01,
-8.992000e-01,6.20e-01,
-8.988000e-01,6.00e-01,
-8.984000e-01,6.20e-01,
-8.980000e-01,6.00e-01,
-8.976000e-01,6.40e-01,
-8.972000e-01,6.00e-01,
-8.968000e-01,6.20e-01,
-8.964000e-01,6.00e-01,
-8.960000e-01,6.20e-01,
-8.956000e-01,6.00e-01,
-8.952000e-01,6.20e-01,
-8.948000e-01,6.20e-01,
-8.944000e-01,6.00e-01,
-8.940000e-01,6.20e-01,
-8.936000e-01,5.80e-01,
-8.932000e-01,6.20e-01,
-8.928000e-01,5.80e-01,
-8.924000e-01,6.20e-01,
-8.920000e-01,6.00e-01,
-8.916000e-01,5.80e-01,
-8.912000e-01,6.00e-01,
-8.908000e-01,5.60e-01,
-8.904000e-01,6.00e-01,
-8.900000e-01,5.60e-01,
-8.896000e-01,5.80e-01,
-8.892000e-01,5.60e-01,
-8.888000e-01,5.80e-01,
-8.884000e-01,5.40e-01,
-8.880000e-01,5.60e-01,
-8.876000e-01,5.40e-01,
-8.872000e-01,5.60e-01,
-8.868000e-01,5.20e-01,
-8.864000e-01,5.40e-01,
-8.860000e-01,5.00e-01,
-8.856000e-01,5.20e-01,
-8.852000e-01,4.80e-01,
-8.848000e-01,5.00e-01,
-8.844000e-01,5.00e-01,
-8.840000e-01,4.60e-01,
-8.836000e-01,4.80e-01,
-8.832000e-01,4.40e-01,
-8.828000e-01,4.60e-01,
-8.824000e-01,4.60e-01,
-8.820000e-01,4.00e-01,
-8.816000e-01,4.20e-01,
-8.812000e-01,3.80e-01,
-8.808000e-01,4.00e-01,
-8.804000e-01,3.60e-01,
-8.800000e-01,3.80e-01,
-8.796000e-01,3.40e-01,
-8.792000e-01,3.60e-01,
-8.788000e-01,3.20e-01,
-8.784000e-01,3.40e-01,
-8.780000e-01,3.00e-01,
-8.776000e-01,3.20e-01,
-8.772000e-01,2.60e-01,
-8.768000e-01,2.80e-01,
-8.764000e-01,2.40e-01,
-8.760000e-01,2.60e-01,
-8.756000e-01,2.20e-01,
-8.752000e-01,2.40e-01,
-8.748000e-01,2.40e-01,
-8.744000e-01,2.00e-01,
-8.740000e-01,2.20e-01,
-8.736000e-01,1.60e-01,
-8.732000e-01,1.80e-01,
-8.728000e-01,1.40e-01,
-8.724000e-01,1.60e-01,
-8.720000e-01,1.60e-01,
-8.716000e-01,1.20e-01,
-8.712000e-01,1.40e-01,
-8.708000e-01,1.00e-01,
-8.704000e-01,1.20e-01,
-8.700000e-01,1.00e-01,
-8.696000e-01,6.00e-02,
-8.692000e-01,8.00e-02,
-8.688000e-01,4.00e-02,
-8.684000e-01,6.00e-02,
-8.680000e-01,2.00e-02,
-8.676000e-01,4.00e-02,
-8.672000e-01,2.00e-02,
-8.668000e-01,-2.00e-02,
-8.664000e-01,0.00e+00,
-8.660000e-01,-4.00e-02,
-8.656000e-01,-2.00e-02,
-8.652000e-01,-6.00e-02,
-8.648000e-01,-4.00e-02,
-8.644000e-01,-4.00e-02,
-8.640000e-01,-8.00e-02,
-8.636000e-01,-6.00e-02,
-8.632000e-01,-1.00e-01,
-8.628000e-01,-8.00e-02,
-8.624000e-01,-1.20e-01,
-8.620000e-01,-1.00e-01,
-8.616000e-01,-1.40e-01,
-8.612000e-01,-1.00e-01,
-8.608000e-01,-1.40e-01,
-8.604000e-01,-1.40e-01,
-8.600000e-01,-1.60e-01,
-8.596000e-01,-1.40e-01,
-8.592000e-01,-1.80e-01,
-8.588000e-01,-1.40e-01,
